Time (ms),Position Data for Clock Game(mm)
,x,y,z
6539.654,-27.9037570953,261.629699707,75.9819107056,
6548.354,-30.5821819305,262.270843506,77.0391921997,
6557.055,-33.1607246399,262.836456299,78.1051101685,
6565.756,-35.5876655579,263.081237793,79.1163101196,
6574.456,-37.9438018799,263.604766846,80.0652084351,
6583.157,-40.2064361572,263.761047363,80.8765411377,
6591.857,-42.4551773071,264.253997803,81.7459030151,
6600.558,-44.6257095337,264.343353271,82.4725952148,
6609.259,-46.7312850952,264.439239502,83.2324676514,
6617.959,-48.8583145142,264.603973389,83.8134613037,
6626.66,-50.9014930725,264.70324707,84.5864868164,
6635.36,-52.9269866943,264.957733154,85.2806549072,
6644.061,-54.842540741,264.994110107,85.9627304077,
6652.762,-56.740814209,265.252288818,86.730178833,
6678.863,-62.6403427124,265.946624756,88.7748031616,
6687.564,-63.883140564,266.056732178,89.252494812,
6696.265,-65.2248764038,266.365966797,89.9816894531,
6704.965,-66.5428848267,266.469482422,90.5786209106,
6713.666,-67.8404541016,266.620635986,91.1046600342,
6722.366,-69.0503692627,266.593170166,91.6281204224,
6731.067,-70.2872161865,266.690856934,91.9331359863,
6739.768,-71.4706726074,266.627380371,92.4660263062,
6748.468,-72.6754074097,266.795410156,93.0381393433,
6757.169,-73.8253860474,266.984527588,93.506942749,
6765.869,-74.7934875488,266.925109863,94.0573501587,
6774.57,-75.7184829712,266.969787598,94.4220962524,
6783.271,-76.6323165894,267.190704346,94.8091964722,
6791.971,-77.5796966553,267.52053833,95.1602630615,
6800.672,-78.3998565674,267.641021729,95.5099563599,
6809.372,-79.111907959,267.663757324,95.9050521851,
6818.073,-79.8672180176,267.998474121,96.2983322144,
6826.774,-80.5217895508,268.196380615,96.5286254883,
6835.474,-81.0367279053,268.3359375,96.9027023315,
6844.175,-81.6553039551,268.846954346,97.3576278687,
6852.875,-82.2435073853,269.3671875,97.753944397,
6861.576,-82.8803482056,269.671173096,97.9134368896,
6870.277,-83.4425811768,270.051544189,98.3591995239,
6878.977,-84.0194473267,270.283477783,98.6057662964,
6887.678,-84.7349243164,270.721374512,98.7080688477,
6896.378,-85.2936630249,271.133850098,99.0527877808,
6905.079,-85.807434082,271.613861084,99.4209594727,
6913.78,-86.4337234497,272.447753906,99.6181182861,
6922.48,-86.8314208984,273.14050293,100.043731689,
6931.181,-87.0645446777,273.557403564,100.330581665,
6939.881,-87.1442642212,273.76574707,100.527175903,
6948.582,-87.1757736206,274.184448242,100.699653625,
6957.283,-87.1761932373,274.668762207,100.815994263,
6965.983,-87.176651001,275.095489502,100.8802948,
6974.684,-87.0799942017,275.317657471,100.891456604,
6983.384,-87.0780563354,275.862182617,100.940101624,
6992.085,-87.0367889404,276.387969971,101.06477356,
7000.786,-86.9458312988,276.790313721,101.063865662,
7009.486,-86.7796630859,277.025939941,101.00982666,
7018.187,-86.7882614136,277.630249023,100.704093933,
7026.887,-86.6143188477,277.730834961,100.787414551,
7035.588,-86.4204940796,277.834960938,100.936721802,
7044.289,-86.1885452271,277.864227295,100.875679016,
7052.989,-85.8828735352,277.814849854,100.790916443,
7061.69,-85.6540222168,277.879577637,100.665367126,
7070.39,-85.3519134521,277.741546631,100.516921997,
7079.091,-85.1625289917,277.858612061,100.558319092,
7087.792,-85.0260543823,277.956726074,100.566543579,
7096.492,-84.8664627075,277.953857422,100.445373535,
7105.193,-84.6315460205,277.727966309,100.228424072,
7113.893,-84.5226364136,277.805908203,100.110244751,
7122.594,-84.4598083496,277.968231201,100.199882507,
7131.295,-84.2955856323,277.868591309,100.097381592,
7139.995,-84.4309844971,278.2109375,99.7277069092,
7148.696,-84.2840194702,278.139709473,99.7009429932,
7157.396,-84.0351867676,277.783294678,99.6636276245,
7166.097,-83.7851715088,277.519042969,99.5857315063,
7174.798,-83.5856552124,277.489471436,99.5367355347,
7183.498,-83.2711715698,276.908050537,99.1107635498,
7192.199,-83.0114364624,276.492279053,98.8219604492,
7200.899,-82.8700790405,276.475585938,98.8269882202,
7209.6,-82.6974868774,276.233551025,98.7991714478,
7218.301,-82.4292907715,275.773742676,98.7043533325,
7227.001,-82.2249832153,275.481048584,98.4480438232,
7235.702,-82.1368255615,275.53805542,98.00415802,
7244.402,-81.824836731,275.219573975,97.7820663452,
7253.103,-81.4513702393,274.924041748,97.6624526978,
7261.804,-81.0796432495,274.602783203,97.2283782959,
7270.504,-80.4647445679,274.042999268,97.1051101685,
7279.205,-79.8284759521,273.606933594,96.6422729492,
7287.905,-78.9902496338,272.916381836,96.4137039185,
7296.606,-78.0699539185,272.185333252,96.0062789917,
7305.307,-77.1070404053,271.400543213,95.621925354,
7314.007,-76.1380081177,270.803588867,95.0506973267,
7322.708,-74.975189209,269.829956055,94.6106338501,
7331.408,-73.9065246582,269.036132812,93.8927993774,
